Planet,Mass (10^24kg),Diameter (km),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (10^6 km),Perihelion (10^6 km),Aphelion (10^6 km),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Semi-Major Axis (km)
Mercury,0.33,4879,5429,3.7,4.3,1407.6,4222.6,57.9,46.0,69.8,0.24093086926762491 yr,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes,57900000.0
Venus,4.87,12104,5243,8.9,10.4,-5832.5,2802.0,108.2,107.5,108.9,0.6151950718685831 yr,35.0,3.4,0.007,177.4,464,92.0,0,No,No,108200000.0
Earth,5.97,12756,5514,9.8,11.2,23.9,24.0,149.6,147.1,152.1,0.9998631074606433 yr,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes,149600000.0
Moon,0.073,3475,3340,1.6,2.4,655.7,708.7,0.384,0.363,0.406,0.07474332648870637 yr,1.0,5.1,0.055,6.7,-20,0.0,0,No,No,384500.0
Mars,0.642,6792,3934,3.7,5.0,24.6,24.7,228.0,206.7,249.3,1.8809034907597535 yr,24.1,1.8,0.094,25.2,-65,0.01,2,No,No,228000000.0
Jupiter,1898.0,142984,1326,23.1,59.5,9.9,9.9,778.5,740.6,816.4,11.85763175906913 yr,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes,778500000.0
Saturn,568.0,120536,687,9.0,35.5,10.7,10.7,1432.0,1357.6,1506.5,29.423682409308693 yr,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes,1432050000.0
Uranus,86.8,51118,1270,8.7,21.3,-17.2,17.2,2867.0,2732.7,3001.4,83.74811772758385 yr,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes,2867050000.0
Neptune,102.0,49528,1638,11.0,23.5,16.1,16.1,4515.0,4471.1,4558.9,163.72347707049965 yr,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes,4515000000.0
Pluto,0.013,2376,1850,0.7,1.3,-153.3,153.3,5906.4,4436.8,7375.9,247.93976728268308 yr,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown,5906350000.0
